원문,번역문
"국립환경과학원 대기질통합예보센터는 5일 수도권·강원 영서·충청권·전북에서 미세먼지 농도가 ‘매우 나쁨’ 수준을, 나머지 지역에서는 ‘나쁨’ 수준을 나타낼 것으로 전망했다.","The National Institute of Environmental Research's Air Quality Integrated Forecasting Center predicted on Thursday that fine dust concentrations in the metropolitan area, Gangwon Province, the west, the Chungcheong region, and North Jeolla Province will be at a ""very bad"" level and that in the rest of the country."
"그는 “RSK처럼 유명 메인넷임에도 한국 거래소에 많이 상장되지 않은 프로젝트들이 있는데, RSK 기반 토큰들을 입출금할 수 있는 API를 만들어 거래소 등에 공급하려 한다”고 말했다.","""There are some projects that are not listed on the Korean exchange even though they are well-known mainnets like RSK,"" he said. ""We will create an API that can deposit and withdraw RSK-based tokens and supply them to exchanges.”"
"유 작가는 진술서를 쓰다가 군법회의에서 공소기각 선고를 받고 풀려났으나, 영장이 나와 있어 신체검사를 받고 군에 입대했다.","Writer Yoo was released after receiving an indictment at a court martial while writing a statement, but was sent to the military after receiving a physical examination because of the warrant."
"연구소 측은 “국내외 경제 이슈로 ‘시장 환경 변화에 신속히 대응할 수 있도록 유동성을 확보해야 한다'는 인식이 당분간 지속될 것으로 보인다""고 설명했다.","The research institute said, “As a result of domestic and international economic issues, the recognition that ‘the liquidity must be secured to respond rapidly to changes in the market environment' will continue for a while.”"
"버지, 엔가젯 등 IT외신은 이 또한 임시방편에 불과하며, 구글이 장차 크롬에서 파일시스템 API를 완전 제거할 것으로 내다봤다.",IT foreign media such as Burgie and Engadget also predicted that it will be just a temporary fix and that Google will completely remove file system APIs from Chrome in the future.
고진영은 ANA 인스퍼레이션 우승으로 45만 달러(약 5억1246만원)의 상금을 더해 올 시즌 누적 상금이 올 시즌 LPGA투어에서 가장 먼저 상금 100만 달러(11억3870만원)를 돌파한 주인공이 됐다.,"Ko added 450,000 U.S. dollars (about 512,460,000 won) in prize money to become the first player on the LPGA Tour to surpass 1,000,000 U.S. dollars (about 1,138,700,000 won) in prize money."
"고용노동부가 불법파견 판정을 받은 하청업체 소속 비정규직 노동자 774명을 정규직으로 직접 고용하라고 한국지엠(GM) 창원공장에 지시했으나, 한국지엠은 “경영정상화에 방해가 될 수 있다”는 등 이유로 이를 거부했다.","The Ministry of Employment and Labor ordered GM Korea's Changwon plant to directly hire 774 non-regular workers from subcontractors who were declared to have been illegally dispatched to the country as regular workers, but GM Korea rejected the request, citing that it could hamper its management normalization."
"검은사막 모바일은 2018년 2월 국내에서 첫 선을 보였고, 대만·홍콩·마카오에 지난 8월 출시해 좋은 지표를 보이고 있다.","The Black Desert Mobile was the first in Korea in February 2018, and has been released in Taiwan, Hong Kong, and Macao in August, showing a good indicator."
나디아는 22세이던 1995년 가까운 친구가 히잡을 쓰는 등 이슬람 율법을 엄격히 따르는 것을 보고 종교에 관심을 갖게 됐다.,"Nadia became interested in religion when she saw her close friend follow Islamic law strictly, including using hijab in 1995, when she was 22."
부모와 어린이가 다양한 체험 활동을 함께 하며 교통 안전에 대해 배우는 무료 체험형 교육 프로그램이다.,It is a free experiential education program that parents and children do various hands-on activities and learn about traffic safety.
